,,,,,,,,,,,,,,,,,,,,,,
"출고
일자","출고 
공장",작업시간,출항항구,선적일자,Inv#,거래처,국가,품명,"수량
(MT)",단가,"인도
조건","해상
운임
(USD)","결제
조건",포장,포워딩,내륙운송,"부킹
여부","매출금액
(외화)","입금
예정일",입금일,비고,담당자
2023-11-27,율촌,13:00,광양,2023-12-01,23110045,LOTUS,"Vietnam
(Danang)",SOLIMER-390 (50%),21,720,CIF,150,T/T,Flexi(씨앤팩),한솔,씨앤팩,,15120,,,SCS20231115-2,임찬혁
2023-11-22,진천,14:00,인천,2023-12-02,23110040,Real Point,Malaysia,SOLIMER-490 (50%),21,770,CIF,630,T/T,Flexi,한솔,플렉시오퍼레이터,,16170,,,3454,임찬혁
2023-11-16,평택,"9:10, 10:10",부산,2023-12-02,23110018,MBS,Ecuador,SOLIMER-K73 (55%),39.6,1340,CIF,1500,T/T,IBC,태웅,씨앤팩,,132660,,,10002067,이봉현
2023-11-22,평택,"9:10, 10:10, 13:30",,,,,,SOLIMER-K73 (55%),59.4,1340,,,,,,,,,,,,
2023-11-24,율촌,13:00,광양,2023-12-02,23110044,CUGLA,Netherland,SOLIMER-LE(50%),21,€980,CIF,850,T/T,Flexi,태웅,플렉시오퍼레이터,,"€20,580",,,2nd ship. Q1,이봉현
2023-11-24,율촌,"09:00, 10:00",,,,,,SOLIMER-MC(50%),42,€980,,,,,,,,"€41,160",,,,
2023-11-24,율촌,14:00,,,,,,SOLIMER-390(50%),21,€900,,,,,,,,"€18,900",,,,
2023-11-23,평택,10:10,,,,,,SOLIMER-KE(50%),21,"€1,060",,,,,,,,"€22,260",,,,
2023-11-27,율촌,14:00,광양,2023-12-02,23110046,SEMTU OY,Finland,SOLIMER-MC (50%),21,"€1,020",CIF,950,D/P,Flexi,판토스,씨앤팩,,"€63,000",,,PO 24135,이봉현
2023-11-27,,10:00,,,,,,SOLIMER-LES (50%),21,"€1,000",,,,,,,,,,,,
2023-11-27,,9:00,,,,,,SOLIMER-LE (50%),21,€980,,,,,,,,,,,,
2023-11-16,율촌,10:00,광양,2023-12-02,23110021,MC-Bauchemie,Brazil,SOLIMER-MC (50%),22,1050,CFR,"2,300",T/T,Flexi,판토스,씨앤팩,,23100,,,173604,임찬혁
2023-11-20,율촌,10:00,광양,2023-12-02,23110022,MC-Bauchemie,Brazil,SOLIMER-LJ (50%),22,"$1,020",CFR,"2,300",T/T,Flexi,판토스,씨앤팩,,"$22,440",,,173265,임찬혁
2023-11-15,율촌,9:00,광양,2023-12-02,23110023,MC-Bauchemie,"Brazil
(Suape)",SOLIMER-LJ (50%),22,1090,CFR,"3,100",T/T,Flexi,판토스,씨앤팩,,23980,,,173925,임찬혁
2023-11-28,율촌,13:00,부산 ,2023-12-02,23110041,"CHEMISTAR
AMERICA"," Canada
(Euclid North York)",SOLIMER-LES (50%),19,780,EXW,,T/T,ISO,ISA,ISA,,14820,,,2344002,맹영철
2023-11-28,율촌,9:00,부산 ,2023-12-03,23110032,"CHEMISTAR
AMERICA"," Canada
(Euclid North York)",SOLIMER-LES (50%),19,780,EXW,,T/T,ISO,ISA,ISA,,14820,,,2344001,맹영철
2023-11-28,율촌,10:00,부산 ,2023-12-03,23110042,"CHEMISTAR
AMERICA"," Canada
(Euclid St-hubert)",SOLIMER-LES (50%),19,780,EXW,,T/T,ISO,ISA,ISA,,14820,,,2345002-2,맹영철
2023-11-27,진천,13:00,부산,2023-12-04,23110047,MC-Bauchemie,Spain,SOLIMER-490 (50%),21,750,FOB,,T/T,Flexi,닥서,플렉시오퍼레이터,,"15,750",,,B2023000630,임찬혁
2023-11-28,율촌,14:00,광양,2023-12-04,23110050,LOTUS,Vietnam,SOLIMER-390 (50%),21,710,CIF,10,L/C,Flexi(씨앤팩),한솔,씨앤팩,,14910,,,SCS20231115,임찬혁
2023-11-28,율촌,15:00,광양,2023-12-04,23110051,LOTUS,Vietnam,SOLIMER-390 (50%),21,710,CIF,10,L/C,Flexi(씨앤팩),한솔,씨앤팩,,14910,,,SCS20231115-1,임찬혁
2023-12-04,율촌,"09:00,10:00, 13:00",광양,2023-12-07,23110053,Betonracio,Slovakia,SOLIMER-MC (50%),63,€840,FOB,,T/T,Flexi(씨앤팩),퀴네,씨앤팩,,"€52,920",,,230137,이봉현
2023-12-04,,14:00,,,,,,SOLIMER-390 (50%),21,€740,,,,,,,,"€15,540",,,,
2023-11-16,율촌,13:00,광양,2023-12-07,23110028,SEMTU OY,Finland,SOLIMER-LES (50%),21,€980,CIF,930,D/P,Flexi,태웅,플렉시오퍼레이터,,"€20,580",,,PO 24106,이봉현
2023-11-20,율촌,9:00,광양,2023-12-07,23110017,STACHEMA,Slovakia,SOLIMER-390(50%),21,€940,DAP,2750,T/T,Flexi,에어,플렉시오퍼레이터,,"€19,740",,,03.11.2023,이봉현
2023-12-01,율촌,"09:00, 10:00",부산,2023-12-08,23110052,Betonracio,TURKEY,SOLIMER-390 (50%),42,€720,FOB,,T/T,Flexi,퀴네,씨앤팩,,"€30,240",,,230134,이봉현
2023-11-28,진천,10:30,부산,2023-12-09,23110054,TKK,Slovenia,SOLIMER-SD (50%),19.8,"€1,300",CIF,1500,T/T,IBC,판토스,플렉시오퍼레이터,완료,"€25,740",,,4500822860,이봉현
2023-12-05,율촌,9:00,부산 ,2023-12-10,23110048,"CHEMISTAR
AMERICA"," Canada
(Euclid St-hubert)",SOLIMER-LES (50%),19,780,EXW,,T/T,ISO,ISA,ISA,,14820,,,2345002-3,맹영철
2023-12-05,율촌,10:00,부산 ,2023-12-11,23110049,"CHEMISTAR
AMERICA"," Canada
(Euclid St-hubert)",SOLIMER-LES (50%),19,780,EXW,,T/T,ISO,ISA,ISA,,14820,,,2345002-4,맹영철
2023-12-06,율촌,"09:00, 10:00",부산 ,2023-12-12,23120001,Euclid ,Costa Rica,SOLIMER-520 (50%),39.6,1180,CIF,"2,250",T/T,IBC,판토스,플렉시오퍼레이터,완료,46728,,,"PO 049-24, 050-24",박도형
2023-12-06,율촌,13:00,부산 ,2023-12-12,23120005,Euclid ,Costa Rica,SOLIMER-520 (50%),19.8,1180,CIF,"2,250",T/T,IBC,판토스,플렉시오퍼레이터,완료,23364,,,PO 052-24,박도형
2023-12-07,율촌,9:00,광양,2023-12-14,23120008,MC-Bauchemie,Ukraine,SOLIMER-MC (50%),19.8,€850,FOB,,T/T,IBC,AGL,플렉시오퍼레이터,,,,,22.11.2023,임찬혁
2023-12-07,율촌,10:00,광양,2023-12-14,23120009,MC-Bauchemie,Ukraine,SOLIMER-MC (50%),19.8,€850,FOB,,T/T,IBC,AGL,플렉시오퍼레이터,,,,,22.11.2023,임찬혁
2023-12-07,율촌,13:00,광양,2023-12-14,23120010,MC-Bauchemie,Ukraine,SOLIMER-MC (50%),19.8,€850,FOB,,T/T,IBC,AGL,플렉시오퍼레이터,,,,,22.11.2023,임찬혁
2023-12-11,율촌,"09:00, 10:00",광양,2023-12-14,23120020,STPCI,Tunisia,SOLIMER-MC (50%),42,1000,CFR,2750,T/T,Flexi,PNS,씨앤팩,,69090,,,20231113-0001,이봉현
2023-12-11,평택,9:10,,,,,,SOLIMER-KF (50%),21,1290,,,,,,,,,,,,
2023-12-08,진천,"13:00, 14:00",부산 ,2023-12-15,23120004,Betonracio,Slovakia,SOLIMER-KB (60%),42,"€1,140",FOB,,T/T,Flexi,퀴네,씨앤팩,,"€47,880",,,230138,이봉현
2023-12-13,율촌,"09:00, 10:00",광양,2023-12-16,23120007,CEMEX,SPAIN,SOLIMER-MC (50%),42,"€1,010",DDP,"2,850",T/T,Flexi(씨앤팩),에어,씨앤팩,,"€42,420",,,231201_01,이봉현
2023-12-14,율촌,10:00,광양,2023-12-16,23120013,MC-Bauchemie,Geogia,SOLIMER-MC (50%),21,"€1,030",CIF,1800,T/T,FLEXI,태웅,플렉시오퍼레이터,,"€21,630",,,PO dated December 07 2023,임현중
2023-12-14,진천,"13:00, 14:00",인천,2023-12-18,23120024,MC-BIFI,Vietnam,SOLIMER-490 (50%),42,780,CIF,10,L/C,Flexi,한솔,플렉시오퍼레이터,,32760,,,DCS20231207,암찬혁
2023-12-13,율촌,9:00,부산 ,2023-12-18,23120002,Euclid ,Costa Rica,SOLIMER-520 (50%),19.8,1180,CIF,"2,250",T/T,IBC,판토스,플렉시오퍼레이터,완료,23364,,,PO 053-24,박도형
2023-12-14,율촌,9:00,부산 ,2023-12-18,23120006,GTC,Puerto Rico,SOLIMER-520(50%),21,1080,CIF,3400,T/T,Flexi(씨앤팩),판토스,플렉시오퍼레이터,,22680,,,23242PR,박도형
2023-12-12,율촌,9:00,부산 ,2023-12-20,23120025,"CHEMISTAR
AMERICA"," Canada
(Euclid St-hubert)",SOLIMER-LES (50%),19,740,EXW,,T/T,ISO,ISA,ISA,,14060,,,2349002,맹영철
2023-12-14,율촌,"14:00, 15:00, 16:00",부산 ,2023-12-21,23120021,STACHEMA,POLAND,SOLIMER-390 (50%),63,€870,DAP,1800,T/T,Flexi,판토스,플렉시오퍼레이터,,"€54,810",,,08/2023,이봉현
2023-12-14,율촌,14:00,부산 ,2023-12-21,23120019,ANDROIMPEX,Poland,SOLIMER-LE (50%),14.3,"€1,090",DAP,2000,T/T,IBC,판토스,씨앤팩,,"€15,587",,,"PO dated Nov.27,2023",이봉현
,,,,,,,,SOLIMER-DF,5,"€7,850",,,,IBC,,,,"€39,250",,,,
2023-12-15,율촌,9:00,광양,2023-12-23,23120015,MC-Bauchemie,Brazil,SOLIMER-MC (50%),22,1020,CFR,2300,T/T,Flexi(씨앤팩),태웅,씨앤팩,,22440,,,175551,임찬혁
2023-12-15,율촌,13:00,광양,2023-12-23,23120016,MC-Bauchemie,Brazil,SOLIMER-LJ (50%),22,990,CFR,2300,T/T,Flexi(씨앤팩),태웅,씨앤팩,,21780,,,175552,임찬혁
2023-12-15,율촌,10:00,광양,2023-12-23,23120017,MC-Bauchemie,Brazil,SOLIMER-MC (50%),22,1020,CFR,2300,T/T,Flexi(씨앤팩),태웅,씨앤팩,,22440,,,175558,임찬혁
2023-12-20,율촌,15:00,부산,2023-12-24,23120048,Chemistar,USA,SOLIMER-DB,4,4200,FOB,,T/T,IBC,PNS,플렉시오퍼레이터,,42620,,,2349008,임현중
,,,,,,,,SOLIMER-DB10,4,4200,,,,,,,,,,,,
,,,,,,,,SOLIMER-390 (50%),11,720,,,,,,,,,,,,
2023-12-18,율촌,9:00,광양,2023-12-25,23120023,MC-Bauchemie,Poland,SOLIMER-MC (50%),19.8,€810,CIF,800,T/T,IBC,DHL,씨앤팩,,"€16,038",,,B2023002286,임현중
2023-12-20,율촌,10:00,광양,2023-12-25,23120029,"MC-Bauchemie
(Esslingen)",Germany,SOLIMER-390(50%),21,€700,CIF,850,T/T,Flexi,태웅,플렉시오퍼레이터,,"€14,700",,,E2023000599,임현중
2023-12-20,율촌,"10:00, 13:00, 14:00",광양,2023-12-26,23120049,Cemex,Colombia,SOLIMER-MC (50%),59.4,1020,CIF,1500,T/T,IBC,태웅,씨앤팩,,60588,,,4523634997,박도형
2023-12-20,율촌,9:00,광양,2023-12-26,23120042,Euclid ,Panama,SOLIMER-LES (50%),19.8,1250,CIF,1750,T/T,IBC,태웅,씨앤팩,,24750,,,207,박도형
2023-12-21,율촌,15:00,광양,2023-12-26,23120014,MC-Bauchemie,France,SOLIMER-MC (50%),21,€920,DAP,2500,T/T,Flexi,태웅,플렉시오퍼레이터,,"€19,320",,,F2023000063,임현중
2023-12-14,율촌,13:00,부산 ,2023-12-27,23120027,"CHEMISTAR
AMERICA"," Canada
(Euclid St-hubert)",SOLIMER-LES (50%),19,740,EXW,,T/T,ISO,ISA,ISA,,14060,,,2349003,맹영철
2023-12-15,율촌,9:30,부산 ,2023-12-27,23120028,"CHEMISTAR
AMERICA"," Canada
(Euclid North York)",SOLIMER-LES (50%),19,740,EXW,,T/T,ISO,ISA,ISA,,14060,,,2349001,맹영철
2023-12-21,율촌,9:00,광양,2023-12-27,23120018,MC-Bauchemie,Brazil,SOLIMER-MC (50%),22,1020,CFR,2300,T/T,Flexi(씨앤팩),태웅,씨앤팩,,22440,,,175559,임찬혁
2023-12-22,율촌,14:00,광양,2023-12-28,23120035,"MC-Bauchemie
(Esslingen)",Germany,SOLIMER-390(50%),21,€700,CIF,850,T/T,Flexi,태웅,플렉시오퍼레이터,,"€14,700",,,E2023000599,임현중
2023-12-19,진천,"13:00, 14:00",인천,2023-12-28,23120034,Mapei,Vietnam,SOLIMER-470(50%),42,760,CIF,150,T/T,Flexi(씨앤팩),한솔,씨앤팩,,31920,,,09/2023,임찬혁
2023-12-19,율촌,"14:00, 15:00, 16:00
17:00, 18:00",광양,2023-12-28,23120054,ACS,Philippines,SOLIMER-LE (50%),100.15,750,CIF,350,D/P,Flexi(씨앤팩),씨앤팩,씨앤팩,,"75,112.50",,,25160,박도형
2023-12-21,율촌,"09:00,10:00,13:00",광양,2023-12-28,23120068,ACS,Philippines,SOLIMER-KA (45%),60.06,770,CIF,350,D/P,Flexi(씨앤팩),씨앤팩,씨앤팩,,46246.2,,,25159,박도형
2023-12-19,율촌,9:00,부산,2023-12-28,23120026,INATEC,"Dominican
Republic",SOLIMER-LES (50%),21,1180,CIF,2850,T/T,Flexi(씨앤팩),판토스,씨앤팩,,24780,,,3662,박도형
2023-12-26,율촌,15:00,광양,2023-12-28,23120065,"MC-Bauchemie
(Esslingen)",Germany,SOLIMER-MC(50%),19.8,€880,CIF,950,T/T,IBC,태웅,플렉시오퍼레이터,,"€17,424",,,B2023008837,임현중
2023-12-26,율촌,16:00,광양,2023-12-28,23120067,"MC-Bauchemie
(Esslingen)",Germany,SOLIMER-MC(50%),19.8,€880,CIF,950,T/T,IBC,태웅,씨앤팩,,"€17,424",,,B2023008845,임현중
2023-12-20,진천,13:00,인천,2023-12-29,23120051,Real Point,Malaysia,SOLIMER-490 (50%),21,750,CIF,630,T/T,Flexi,한솔,플렉시오퍼레이터,,15750,,,3482,임찬혁
2023-12-21,율촌,"13:00, 14:00, 15:00",광양,2023-12-29,23120044,HI-CON,Taiwan,SOLIMER-390 (50%),63,660,CIF,30,T/T,Flexi(씨앤팩),태웅,씨앤팩,,41580,,,CS-2402,박도형
2023-12-21,율촌,14:00,부산,2023-12-30,23120036,"CHEMISTAR
AMERICA","USA
(CEMEX 
Victorville)",SOLIMER-MC (50%),19,840,FOB,,T/T,Flexi,에어,플렉시오퍼레이터,,15960,,,2350001,맹영철
2023-12-21,진천,13:00,인천,2023-12-30,23120052,MC-BIFI,Vietnam,SOLIMER-490 (50%),21,780,CIF,10,L/C,Flexi,한솔,플렉시오퍼레이터,,,,,DCS20231207,암찬혁
2023-12-21,진천,14:00,인천,2023-12-30,23120053,MC-BIFI,Vietnam,SOLIMER-490 (50%),21,780,CIF,10,L/C,Flexi,한솔,플렉시오퍼레이터,,,,,DCS20231207,암찬혁
2023-12-20,진천,10:30,부산,2023-12-31,23120031,TKK,Slovenia,SOLIMER-SD (50%),19.8,"€1,300",CIF,1680,T/T,IBC,태웅,플렉시오퍼레이터,완료,"€25,740",,,4500825282,이봉현
2023-12-19,율촌,"09:00, 10:00, 13:00",광양,2023-12-31,23120030,Xinde,Taiwan,SOLIMER-390 (50%),63,650,CIF,20,T/T,Flexi(씨앤팩),한솔,씨앤팩,,40950,,12/15 30%,ENCS1121212,박도형
